id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
37525090,d9f43b15-3979-48da-ac51-5afeff6bd6d6,2012-09-02 8:28:17 AM GMT-03:00,2012-09-02,2012-09-02 11:28:17 UTC,Brasilia,2487189,anderson62,Anderson Rabello Pereira,2020-01-12 15:42:44 UTC,2024-04-28 02:03:56 UTC,research,,https://www.inaturalist.org/observations/37525090,https://static.inaturalist.org/photos/59504259/medium.jpeg,,,População local sofrendo muito por hibridação com C. penicillata.,4,0,FALSE,2,"Rio de Janeiro, BR",-22.428.037.289,-432.463.621.042,19,,,,30278,,obscured,TRUE,gps,gps,,Petrópolis,Rio de Janeiro,Brazil,Rio de Janeiro,Petrópolis,Sagui-da-serra-escuro,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
37692783,3bd44922-48fd-4dcd-b509-d583e5bc1b46,2009/10/23 9:06 PM -0200,2009-10-23,2009-10-23 23:06:00 UTC,Mid-Atlantic,1205623,gussoni,Carlos Otávio Gussoni,2020-01-17 23:07:28 UTC,2025-01-10 15:11:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/37692783,https://inaturalist-open-data.s3.amazonaws.com/photos/59806858/medium.png,,,,5,0,FALSE,,"São Paulo, BR",-2.227.386.096,-475.641.396.896,,,,,30298,,obscured,TRUE,,,,Rio Claro,São Paulo,Brazil,São Paulo,Rio Claro,Sagui-da-serra-escuro,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
37792653,2b1c4db1-936a-4ec8-82b8-a26536e705b3,2013/09/01 9:12 AM -0300,2013-09-01,2013-09-01 12:12:00 UTC,Brasilia,1205623,gussoni,Carlos Otávio Gussoni,2020-01-20 21:12:53 UTC,2024-06-21 19:03:33 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/37792653,https://inaturalist-open-data.s3.amazonaws.com/photos/59984866/medium.jpg,,,,6,0,FALSE,,"São Paulo, BR",-231.438.437.446,-453.369.526.251,,,,,30217,,obscured,TRUE,,,,Taubaté,São Paulo,Brazil,São Paulo,Taubaté,kosman ušatý,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
38005033,c8d3d17a-1221-4a03-b103-27999cc030d8,2013/01/08 3:12 PM MST,2013-01-08,2013-01-08 22:12:00 UTC,Mountain Time (US & Canada),122831,chartuso,Christian Artuso,2020-01-26 22:53:16 UTC,2024-04-28 02:22:37 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/38005033,https://inaturalist-open-data.s3.amazonaws.com/photos/60337332/medium.jpg,,,,2,1,FALSE,,"Rio de Janeiro, BR",-219.072.528.589,-427.206.268.494,700,,,,30338,,obscured,TRUE,,,,Sapucaia,Rio de Janeiro,Brazil,Rio de Janeiro,Sapucaia,Sagui-da-serra-escuro,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
38005034,b67b4de0-5605-4ab7-94f0-975a461c8f2f,2013/01/08 3:12 PM MST,2013-01-08,2013-01-08 22:12:00 UTC,Mountain Time (US & Canada),122831,chartuso,Christian Artuso,2020-01-26 22:53:17 UTC,2024-04-28 02:22:18 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/38005034,https://inaturalist-open-data.s3.amazonaws.com/photos/60337335/medium.jpg,,,,4,0,FALSE,,"Rio de Janeiro, BR",-219.429.133.745,-427.324.592.792,700,,,,30338,,obscured,TRUE,,,,Sapucaia,Rio de Janeiro,Brazil,Rio de Janeiro,Sapucaia,Sagui-da-serra-escuro,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
38919571,2b31ef91-47ee-4d44-aa80-dba42669439d,2018/06/05 12:51 PM -0300,2018-06-05,2018-06-05 15:51:00 UTC,Brasilia,2592268,azambolli,André Zambolli,2020-02-20 20:55:30 UTC,2020-07-25 17:54:08 UTC,research,,https://www.inaturalist.org/observations/38919571,https://static.inaturalist.org/photos/61850605/medium.jpg,,,,3,0,FALSE,,"São Paulo, BR",-232.662.723.599,-46.820.808.092,5610,,,,30196,,obscured,TRUE,,,,Jundiaí,São Paulo,Brazil,São Paulo,Jundiaí,kosman ušatý,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
40790050,a4a3700e-2eab-4d23-b7a7-9cbb8f9760b8,2017/11/26 9:45 AM -0200,2017-11-26,2017-11-26 11:45:00 UTC,Mid-Atlantic,2677620,juliano2020,Juliano Marques,2020-03-27 00:18:15 UTC,2020-07-25 15:10:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/40790050,https://inaturalist-open-data.s3.amazonaws.com/photos/64660028/medium.jpeg,,,,3,0,FALSE,,"São Paulo, BR",-226.819.795.976,-455.046.873.275,61,,,,30258,,obscured,TRUE,,,,Pindamonhangaba,São Paulo,Brazil,São Paulo,Pindamonhangaba,Sagui-da-serra-escuro,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
47023817,5c98b13f-67c6-4517-bfab-0e0555a3b899,2016/06/08 10:48 AM -0300,2016-06-08,2016-06-08 13:48:00 UTC,Brasilia,2935687,cauaum,Cauã Menezes,2020-05-23 20:56:29 UTC,2023-09-12 19:19:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/47023817,https://inaturalist-open-data.s3.amazonaws.com/photos/74569665/medium.jpg,,"nature, natureza, rainforest",,3,0,FALSE,,"Minas Gerais, BR",-221.512.290.693,-450.473.141.152,200,,,,30318,,obscured,TRUE,,,,São Lourenço,Minas Gerais,Brazil,Minas Gerais,São Lourenço,kosman ušatý,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
49130181,bfeb6df9-9972-4521-a332-419f2335c50a,2018/05/21 3:48 PM UTC,2018-05-21,,UTC,838684,larissaavila,Larissa Vaccarini Ávila,2020-06-10 15:38:20 UTC,2024-04-28 02:42:57 UTC,research,CC-BY,https://www.inaturalist.org/observations/49130181,https://inaturalist-open-data.s3.amazonaws.com/photos/77983604/medium.jpeg,,,,5,0,FALSE,,"Minas Gerais, BR",-207.976.859.851,-429.327.348.498,6031,,,,30453,,obscured,TRUE,,,,Viçosa,Minas Gerais,Brazil,Minas Gerais,Viçosa,kosman ušatý,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
52638240,2037d304-c328-48fd-806e-bc91ca7a8d04,2020/07/05 11:16 AM -0300,2020-07-05,2020-07-05 14:16:00 UTC,Brasilia,611517,marikaizer,Mariane Kaizer,2020-07-11 02:32:32 UTC,2025-04-21 18:36:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/52638240,https://static.inaturalist.org/photos/83689553/medium.jpeg,,,,2,0,FALSE,,"Minas Gerais, BR",-208.084.190.597,-421.648.838.782,2026,,,,30434,,obscured,TRUE,,,,Tombos,Minas Gerais,Brazil,Minas Gerais,Tombos,Sagui-da-serra-escuro,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
